#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-30 22:56:56,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
95740,1.10E+00,5.11E-04,0.191,,,,
127790,1.10E+00,5.10E-04,0.19,,,,
162070,1.10E+00,5.09E-04,0.189,,,,
213260,1.09E+00,5.07E-04,0.188,,,,
359810,1.05E+00,4.90E-04,0.187,,,,
422730,1.06E+00,4.96E-04,0.186,,,,
447650,1.07E+00,4.97E-04,0.185,,,,
467060,1.07E+00,4.98E-04,0.184,,,,
486830,1.06E+00,4.93E-04,0.183,,,,
500760,1.07E+00,4.98E-04,0.182,,,,
552580,1.07E+00,4.99E-04,0.181,,,,
578650,1.07E+00,4.99E-04,0.18,,,,
668160,1.08E+00,5.07E-04,0.179,,,,
723810,1.08E+00,5.01E-04,0.178,,,,
785600,1.07E+00,5.00E-04,0.177,,,,
818780,1.07E+00,5.00E-04,0.176,,,,
863920,1.07E+00,5.09E-04,0.175,,,,
921489,1.07E+00,5.08E-04,0.174,,,,
951040,1.07E+00,4.99E-04,0.173,,,,
1011420,1.07E+00,5.04E-04,0.172,,,,
1075590,1.07E+00,4.98E-04,0.171,,,,
1135730,1.07E+00,4.98E-04,0.17,,,,
1156180,1.07E+00,5.02E-04,0.169,,,,
1237420,1.07E+00,4.98E-04,0.168,,,,
1346370,1.08E+00,5.00E-04,0.167,,,,
1439850,1.06E+00,4.95E-04,0.166,,,,
1491850,1.06E+00,4.99E-04,0.165,,,,
1524050,1.06E+00,4.93E-04,0.164,,,,
1614490,1.06E+00,4.92E-04,0.163,,,,
1738510,1.06E+00,4.98E-04,0.162,,,,
1777409,1.06E+00,4.92E-04,0.161,,,,
1808640,1.06E+00,4.98E-04,0.16,,,,
1854190,1.05E+00,4.97E-04,0.159,,,,
1913800,1.05E+00,4.94E-04,0.158,,,,
