#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-30 22:56:56,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
43900,1.10E+00,5.08E-04,0.719,,,,
89640,1.09E+00,5.06E-04,0.718,,,,
138290,1.09E+00,5.06E-04,0.717,,,,
163470,1.09E+00,5.06E-04,0.716,,,,
173850,1.09E+00,5.06E-04,0.715,,,,
179280,1.09E+00,5.06E-04,0.714,,,,
200010,1.09E+00,5.06E-04,0.713,,,,
221990,1.09E+00,5.06E-04,0.712,,,,
235290,1.09E+00,5.07E-04,0.711,,,,
246970,1.09E+00,5.07E-04,0.71,,,,
257830,1.09E+00,5.06E-04,0.709,,,,
278460,1.09E+00,5.07E-04,0.708,,,,
298960,1.09E+00,5.06E-04,0.707,,,,
320580,1.09E+00,5.06E-04,0.706,,,,
338640,1.09E+00,5.06E-04,0.705,,,,
355370,1.09E+00,5.06E-04,0.704,,,,
375720,1.09E+00,5.06E-04,0.703,,,,
390300,1.09E+00,5.06E-04,0.702,,,,
400710,1.09E+00,5.06E-04,0.701,,,,
411340,4.11E+05,5.06E-04,0.7,,,,
439660,1.09E+00,5.07E-04,0.699,,,,
455830,1.09E+00,5.06E-04,0.698,,,,
467270,1.10E+00,5.07E-04,0.697,,,,
484310,1.09E+00,5.06E-04,0.696,,,,
500470,1.10E+00,5.07E-04,0.695,,,,
523640,1.09E+00,5.07E-04,0.694,,,,
538270,1.09E+00,5.07E-04,0.693,,,,
552050,1.09E+00,5.07E-04,0.692,,,,
588850,1.09E+00,5.07E-04,0.691,,,,
613050,1.09E+00,5.07E-04,0.69,,,,
635500,1.09E+00,5.06E-04,0.689,,,,
654770,1.09E+00,5.07E-04,0.688,,,,
672770,1.09E+00,5.07E-04,0.687,,,,
692220,1.09E+00,5.06E-04,0.686,,,,
716440,1.09E+00,5.07E-04,0.685,,,,
