Power (mW),Distance (mm)
0.0004,12.41
0.0004,12.4
0.0005,12.36
0.0002,12.355
0.0003,12.35
0.0005,12.345
0.0006,12.34
0.0007,12.335
0.001,12.33
0.0013,12.325
0.0014,12.323
0.0015,12.321
0.0016,12.32
0.0018,12.318
0.002,12.315
0.0021,12.314
0.0024,12.313
0.0027,12.311
0.0031,12.31
0.0034,12.309
0.0037,12.308
0.0037,12.307
0.0039,12.306
0.0041,12.305
0.0044,12.304
0.0045,12.303
0.0048,12.302
0.0051,12.301
0.0053,12.3
0.0052,12.299
0.0056,12.298
0.0059,12.297
0.0059,12.296
0.0062,12.295
0.0064,12.294
0.007,12.293
0.0074,12.292
0.008,12.291
0.0082,12.29
0.0085,12.289
0.009,12.288
0.0097,12.287
0.0104,12.286
0.0106,12.285
0.0117,12.284
0.0125,12.283
0.0132,12.282
0.0137,12.281
0.0147,12.28
0.0149,12.279
0.0157,12.278
0.0159,12.277
0.0171,12.276
0.0177,12.275
0.0188,12.274
0.0199,12.273
0.0207,12.272
0.0215,12.271
0.0225,12.27
0.022,12.269
0.0235,12.268
0.0238,12.267
0.0245,12.266
0.0257,12.265
0.0274,12.264
0.0301,12.263
0.0308,12.262
0.0325,12.261
0.0354,12.26
0.0343,12.259
0.0347,12.258
0.037,12.257
0.0366,12.256
0.0391,12.255
0.0403,12.254
0.0422,12.253
0.0438,12.252
0.0465,12.251
0.0477,12.25
0.0481,12.249
0.0512,12.248
0.0535,12.247
0.0547,12.246
0.0574,12.245
0.0577,12.244
0.0596,12.243
0.0632,12.242
0.0651,12.241
0.0683,12.24
0.069,12.239
0.0717,12.238
0.0739,12.237
0.0751,12.236
0.0788,12.235
0.0825,12.234
0.0885,12.233
0.0907,12.232
0.0935,12.231
0.0939,12.23
0.0962,12.229
0.0966,12.228
0.1001,12.227
0.1029,12.226
0.1059,12.225
0.1121,12.224
0.1151,12.223
0.1205,12.222
0.1217,12.221
0.1255,12.22
0.1262,12.219
0.1279,12.218
0.1311,12.217
0.1344,12.216
0.1354,12.215
0.1389,12.214
0.1431,12.213
0.1462,12.212
0.1524,12.211
0.1555,12.21
0.1565,12.209
0.1613,12.208
0.1637,12.207
0.1675,12.206
0.169,12.205
0.179,12.204
0.185,12.203
0.1873,12.202
0.1899,12.201
0.19,12.2
0.1955,12.199
0.1968,12.198
0.2013,12.197
0.202,12.196
0.2078,12.195
0.2092,12.194
0.2166,12.193
0.219,12.192
0.2257,12.191
0.2299,12.19
0.234,12.189
0.242,12.188
0.2454,12.187
0.248,12.186
0.2512,12.185
0.256,12.184
0.2564,12.183
0.2616,12.182
0.2656,12.181
0.2744,12.18
0.28,12.179
0.281,12.178
0.2844,12.177
0.2941,12.176
0.2938,12.175
0.2983,12.174
0.2999,12.173
0.3033,12.172
0.306,12.171
0.3085,12.17
0.3371,12.169
0.3405,12.168
0.3427,12.167
0.3517,12.166
0.3588,12.165
0.3635,12.164
0.365,12.163
0.3676,12.162
0.3716,12.161
0.3725,12.16
0.3674,12.159
0.3711,12.158
0.3757,12.157
0.39,12.156
0.395,12.155
0.3988,12.154
0.4018,12.153
0.4054,12.152
0.4068,12.151
0.4111,12.15
0.4133,12.149
0.4147,12.148
0.4192,12.147
0.4179,12.146
0.419,12.145
0.4166,12.144
0.415,12.143
0.419,12.142
0.419,12.141
0.419,12.14
0.424,12.139
0.428,12.138
0.43,12.137
0.434,12.136
0.441,12.135
0.4464,12.134
0.4527,12.133
0.4599,12.132
0.4661,12.131
0.4681,12.13
0.468,12.129
0.4699,12.128
0.4715,12.127
0.47,12.126
0.4737,12.125
0.4763,12.124
0.4774,12.123
0.4784,12.122
0.4831,12.121
0.4838,12.12
0.4861,12.119
0.4842,12.118
0.4872,12.117
0.487,12.116
0.474,12.115
0.4738,12.114
0.472,12.113
0.474,12.112
0.4745,12.111
0.4745,12.11
0.479,12.109
0.4814,12.108
0.4845,12.107
0.49,12.106
0.4968,12.105
0.5024,12.104
0.507,12.103
0.5118,12.102
0.5144,12.101
0.5186,12.1
0.5212,12.099
0.5222,12.098
0.5218,12.097
0.5234,12.096
0.52,12.095
0.5165,12.094
0.5138,12.093
0.5129,12.092
0.5113,12.091
0.512,12.09
0.5132,12.089
0.5144,12.088
0.517,12.087
0.5197,12.086
0.522,12.085
0.5236,12.084
0.5247,12.083
0.5271,12.082
0.5286,12.081
0.5298,12.08
0.5304,12.079
0.5316,12.078
0.5324,12.077
0.5336,12.076
0.5335,12.075
0.5255,12.074
0.5252,12.073
0.5238,12.072
0.5244,12.071
0.524,12.07
0.5232,12.069
0.5239,12.068
0.5237,12.067
0.5239,12.066
0.5246,12.065
0.5274,12.064
0.5292,12.063
0.5301,12.062
0.532,12.061
0.5333,12.06
0.5351,12.059
0.536,12.058
0.536,12.057
0.5361,12.056
0.5364,12.055
0.5371,12.054
0.5385,12.053
0.5409,12.052
0.543,12.051
0.5449,12.05
0.5462,12.049
0.5474,12.048
0.5482,12.047
0.547,12.046
0.545,12.045
0.538,12.044
0.5372,12.043
0.5375,12.042
0.5381,12.041
0.539,12.04
0.5397,12.039
0.5402,12.038
0.5417,12.037
0.5431,12.036
0.5442,12.035
0.546,12.034
0.5465,12.033
0.547,12.032
0.5455,12.031
0.5425,12.03
0.543,12.029
0.5494,12.028
0.5512,12.027
0.5492,12.026
0.548,12.021
0.555,12
