Power (mW),Distance (mm)
0.0002,5.32
0.0002,5.319
0.0002,5.318
0.0003,5.317
0.0003,5.316
0.0004,5.315
0.0003,5.314
0.0004,5.313
0.0004,5.312
0.0003,5.311
0.0004,5.31
0.0004,5.309
0.0003,5.308
0.0004,5.307
0.0003,5.306
0.0003,5.305
0.0004,5.304
0.0003,5.303
0.0003,5.302
0.0003,5.301
0.0003,5.3
0.0003,5.299
0.0003,5.298
0.0004,5.297
0.0004,5.296
0.0004,5.295
0.001,5.294
0.0009,5.293
0.001,5.292
0.001,5.291
0.001,5.29
0.0011,5.289
0.0012,5.288
0.0013,5.287
0.0013,5.286
0.0014,5.285
0.0014,5.284
0.0015,5.283
0.0016,5.282
0.0017,5.281
0.0017,5.28
0.0016,5.279
0.0016,5.278
0.0017,5.277
0.0017,5.276
0.0018,5.275
0.0019,5.274
0.0021,5.273
0.0022,5.272
0.0022,5.271
0.0022,5.27
0.0023,5.269
0.0023,5.268
0.0024,5.267
0.0024,5.266
0.0024,5.265
0.0027,5.264
0.0028,5.263
0.0031,5.262
0.0032,5.261
0.0034,5.26
0.0035,5.259
0.0036,5.258
0.0039,5.257
0.0042,5.256
0.0042,5.255
0.0048,5.254
0.0051,5.253
0.0056,5.252
0.006,5.251
0.0061,5.25
0.0067,5.249
0.0073,5.248
0.0076,5.247
0.0082,5.246
0.0089,5.245
0.0101,5.244
0.0115,5.243
0.0123,5.242
0.0126,5.241
0.0136,5.24
0.015,5.239
0.0166,5.238
0.018,5.237
0.0191,5.236
0.0208,5.235
0.0238,5.234
0.0256,5.233
0.0284,5.232
0.0316,5.231
0.0324,5.23
0.0347,5.229
0.0371,5.228
0.039,5.227
0.042,5.226
0.0469,5.225
0.0522,5.224
0.0566,5.223
0.0614,5.222
0.0644,5.221
0.0679,5.22
0.0735,5.219
0.0774,5.218
0.0861,5.217
0.0891,5.216
0.0975,5.215
0.1022,5.214
0.1115,5.213
0.1194,5.212
0.1216,5.211
0.1286,5.21
0.1287,5.209
0.1372,5.208
0.1381,5.207
0.1491,5.206
0.159,5.205
0.1672,5.204
0.1727,5.203
0.1844,5.202
0.1897,5.201
0.1952,5.2
0.1987,5.199
0.2052,5.198
0.2072,5.197
0.2151,5.196
0.2236,5.195
0.2272,5.194
0.252,5.193
0.2687,5.192
0.2688,5.191
0.2696,5.19
0.2765,5.189
0.2838,5.188
0.2905,5.187
0.3035,5.186
0.312,5.185
0.3225,5.184
0.3297,5.183
0.337,5.182
0.3401,5.181
0.3481,5.18
0.3517,5.179
0.3548,5.178
0.3597,5.177
0.3641,5.176
0.3692,5.175
0.3774,5.174
0.3822,5.173
0.3833,5.172
0.3892,5.171
0.3902,5.17
0.3938,5.169
0.3971,5.168
0.4009,5.167
0.406,5.166
0.407,5.165
