Power (mW),Distance (mm),Ambient power,Power (mW)  filtered,
6.72E-05,0.25,1.08E+00,6.21E-05,
7.20E-05,0.249,1.09E+00,6.63E-05,
6.92E-05,0.248,1.08E+00,6.39E-05,
6.99E-05,0.247,1.08E+00,6.46E-05,
7.01E-05,0.246,1.08E+00,6.49E-05,
6.94E-05,0.245,1.08E+00,6.44E-05,
6.91E-05,0.244,1.08E+00,6.40E-05,
7.13E-05,0.243,1.07E+00,6.63E-05,
6.81E-05,0.242,1.07E+00,6.35E-05,
7.26E-05,0.241,1.08E+00,6.75E-05,
7.14E-05,0.24,1.08E+00,6.63E-05,
7.05E-05,0.239,1.07E+00,6.58E-05,
6.92E-05,0.238,1.07E+00,6.45E-05,
7.07E-05,0.237,1.07E+00,6.60E-05,
6.76E-05,0.236,1.08E+00,6.29E-05,
6.72E-05,0.235,1.08E+00,6.23E-05,
6.82E-05,0.234,1.08E+00,6.33E-05,
7.18E-05,0.233,1.08E+00,6.63E-05,
7.17E-05,0.232,1.08E+00,6.61E-05,
7.24E-05,0.231,1.08E+00,6.68E-05,
7.09E-05,0.23,1.09E+00,6.52E-05,
7.10E-05,0.229,1.09E+00,6.51E-05,
7.05E-05,0.228,1.09E+00,6.45E-05,
6.62E-05,0.227,1.11E+00,5.98E-05,
6.74E-05,0.226,1.10E+00,6.10E-05,
6.66E-05,0.225,1.11E+00,6.03E-05,
6.58E-05,0.224,1.10E+00,5.96E-05,
6.71E-05,0.223,1.10E+00,6.09E-05,
6.61E-05,0.222,1.10E+00,6.03E-05,
6.60E-05,0.221,1.10E+00,6.00E-05,
6.60E-05,0.22,1.10E+00,6.03E-05,
6.70E-05,0.219,1.09E+00,6.16E-05,
6.71E-05,0.218,1.08E+00,6.20E-05,
6.52E-05,0.217,1.09E+00,5.97E-05,
6.63E-05,0.216,1.08E+00,6.13E-05,
6.64E-05,0.215,1.09E+00,6.11E-05,
6.53E-05,0.214,1.08E+00,6.02E-05,
6.69E-05,0.213,1.07E+00,6.25E-05,
6.68E-05,0.212,1.08E+00,6.16E-05,
6.58E-05,0.211,1.07E+00,6.17E-05,
6.78E-05,0.21,1.07E+00,6.32E-05,
6.68E-05,0.209,1.08E+00,6.19E-05,
6.68E-05,0.208,1.08E+00,6.16E-05,
6.77E-05,0.207,1.07E+00,6.30E-05,
6.51E-05,0.206,1.08E+00,6.00E-05,
6.72E-05,0.205,1.08E+00,6.22E-05,
6.77E-05,0.204,1.08E+00,6.27E-05,
6.70E-05,0.203,1.09E+00,6.14E-05,
7.20E-05,0.202,1.09E+00,6.61E-05,
6.64E-05,0.201,1.07E+00,6.20E-05,
6.55E-05,0.2,1.08E+00,6.08E-05,
8.09E-05,0.199,1.08E+00,7.46E-05,
6.84E-05,0.198,1.08E+00,6.30E-05,
7.38E-05,0.197,1.10E+00,6.72E-05,
6.76E-05,0.196,1.09E+00,6.20E-05,
7.51E-05,0.195,1.10E+00,6.83E-05,
6.64E-05,0.194,1.09E+00,6.09E-05,
8.12E-05,0.193,1.08E+00,7.53E-05,
6.78E-05,0.192,1.09E+00,6.23E-05,
6.73E-05,0.191,1.08E+00,6.23E-05,
8.09E-05,0.19,1.10E+00,7.35E-05,
6.73E-05,0.189,1.08E+00,6.22E-05,
7.02E-05,0.188,1.08E+00,6.48E-05,
7.55E-05,0.187,1.08E+00,6.97E-05,
6.67E-05,0.186,1.09E+00,6.13E-05,
7.83E-05,0.185,1.09E+00,7.20E-05,
6.87E-05,0.184,1.08E+00,6.38E-05,
6.64E-05,0.183,1.08E+00,6.14E-05,
