#[Manufacturer]; [Hostname]; [Delta t]; [Date]; [Mode]; [File Version]
Thorlabs; PM5020_5E; 10 ms; 2026-07-15T05:11:36; CW; 1

#[Ch];[Name];[Serial];[Type];[Wavelength];[Range];[Attenuation];[Unit]
0; S425C-L; 1932731; Thermopile;1064 nm; manual; 0 dB; W
1; S120VC; 230131112; Photodiode;1064 nm; auto; 0 dB; W

#[ms]; [Ch: 1]; [Ch: 2]
         0; 1.087645E+00 ; 6.607206E-05 
        10; 1.087147E+00 ; 6.562108E-05 
        20; 1.087632E+00 ; 6.720037E-05 
        30; 1.087227E+00 ; 6.783658E-05 
        50; 1.087529E+00 ; 6.599117E-05 
        60; 1.087713E+00 ; 6.553181E-05 
        70; 1.087864E+00 ; 6.728966E-05 
        80; 1.086554E+00 ; 6.792983E-05 
       100; 1.088070E+00 ; 6.584745E-05 
       110; 1.087107E+00 ; 6.558454E-05 
       120; 1.088134E+00 ; 6.723026E-05 
       130; 1.087745E+00 ; 6.793733E-05 
       140; 1.087961E+00 ; 6.718981E-05 
       150; 1.088210E+00 ; 6.580711E-05 
       160; 1.087476E+00 ; 6.556026E-05 
       170; 1.087992E+00 ; 6.722274E-05 
       180; 1.087316E+00 ; 6.794961E-05 
       190; 1.087250E+00 ; 6.715858E-05 
       200; 1.087436E+00 ; 6.586262E-05 
       210; 1.087716E+00 ; 6.565748E-05 
       220; 1.087674E+00 ; 6.726971E-05 
       230; 1.086795E+00 ; 6.789831E-05 
       250; 1.087676E+00 ; 6.587340E-05 
       260; 1.087146E+00 ; 6.556248E-05 
       270; 1.087446E+00 ; 6.723117E-05 
       280; 1.086861E+00 ; 6.776259E-05 
       290; 1.087464E+00 ; 6.707713E-05 
       300; 1.086895E+00 ; 6.596992E-05 
       310; 1.086714E+00 ; 6.565313E-05 
       320; 1.087851E+00 ; 6.716960E-05 
       330; 1.087540E+00 ; 6.788175E-05 
       350; 1.087873E+00 ; 6.590391E-05 
       360; 1.087552E+00 ; 6.564553E-05 
       370; 1.088015E+00 ; 6.725962E-05 
       380; 1.087143E+00 ; 6.784849E-05 
       390; 1.088294E+00 ; 6.704966E-05 
       400; 1.088062E+00 ; 6.587785E-05 
       410; 1.087434E+00 ; 6.563698E-05 
       420; 1.087856E+00 ; 6.719449E-05 
       430; 1.086872E+00 ; 6.798222E-05 
       440; 1.086890E+00 ; 6.712212E-05 
       450; 1.087163E+00 ; 6.587776E-05 
       460; 1.087225E+00 ; 6.561464E-05 
       470; 1.087509E+00 ; 6.730710E-05 
       480; 1.086671E+00 ; 6.780433E-05 
       490; 1.087169E+00 ; 6.712205E-05 
       500; 1.087261E+00 ; 6.595159E-05 
       510; 1.086962E+00 ; 6.558556E-05 
       520; 1.087198E+00 ; 6.723867E-05 
       530; 1.086830E+00 ; 6.794836E-05 
       540; 1.087333E+00 ; 6.705873E-05 
       550; 1.086893E+00 ; 6.589370E-05 
       560; 1.086980E+00 ; 6.560150E-05 
       570; 1.087532E+00 ; 6.734291E-05 
       600; 1.087419E+00 ; 6.585456E-05 
       610; 1.086925E+00 ; 6.569194E-05 
       620; 1.088026E+00 ; 6.719873E-05 
       630; 1.087062E+00 ; 6.790674E-05 
       640; 1.087668E+00 ; 6.703519E-05 
       650; 1.087035E+00 ; 6.581206E-05 
       660; 1.085926E+00 ; 6.563261E-05 
       670; 1.087371E+00 ; 6.732712E-05 
       680; 1.087191E+00 ; 6.789350E-05 
       690; 1.087464E+00 ; 6.699210E-05 
       700; 1.087014E+00 ; 6.593474E-05 
       710; 1.086953E+00 ; 6.569560E-05 
       720; 1.087179E+00 ; 6.722430E-05 
       730; 1.086445E+00 ; 6.797410E-05 
       740; 1.086370E+00 ; 6.709705E-05 
       750; 1.086596E+00 ; 6.593805E-05 
       760; 1.085948E+00 ; 6.563649E-05 
       770; 1.087263E+00 ; 6.728005E-05 
       780; 1.086218E+00 ; 6.789370E-05 
       790; 1.086744E+00 ; 6.690007E-05 
       800; 1.086477E+00 ; 6.601173E-05 
       810; 1.086467E+00 ; 6.566296E-05 
       820; 1.087384E+00 ; 6.721380E-05 
       830; 1.086472E+00 ; 6.803224E-05 
       840; 1.086991E+00 ; 6.698500E-05 
       850; 1.086661E+00 ; 6.590399E-05 
       860; 1.086304E+00 ; 6.560869E-05 
       870; 1.086581E+00 ; 6.733096E-05 
       880; 1.085960E+00 ; 6.792916E-05 
       900; 1.086469E+00 ; 6.598885E-05 
       910; 1.085976E+00 ; 6.568020E-05 
       920; 1.086486E+00 ; 6.722789E-05 
       930; 1.087114E+00 ; 6.802355E-05 
       940; 1.087020E+00 ; 6.690350E-05 
       950; 1.086800E+00 ; 6.585818E-05 
       960; 1.086558E+00 ; 6.575425E-05 
       970; 1.087102E+00 ; 6.737805E-05 
       980; 1.086965E+00 ; 6.791198E-05 
      1000; 1.086728E+00 ; 6.594852E-05 
      1010; 1.086873E+00 ; 6.573831E-05 
      1020; 1.087385E+00 ; 6.730649E-05 
      1030; 1.086758E+00 ; 6.798083E-05 
      1040; 1.087318E+00 ; 6.686631E-05 
      1050; 1.086540E+00 ; 6.584060E-05 
      1060; 1.086430E+00 ; 6.573548E-05 
      1070; 1.086187E+00 ; 6.735355E-05 
      1080; 1.085957E+00 ; 6.790311E-05 
      1090; 1.085930E+00 ; 6.686162E-05 
      1100; 1.085687E+00 ; 6.590770E-05 
      1110; 1.084760E+00 ; 6.574334E-05 
      1120; 1.084863E+00 ; 6.724411E-05 
      1130; 1.083364E+00 ; 6.799967E-05 
      1140; 1.083046E+00 ; 6.692315E-05 
      1150; 1.082169E+00 ; 6.582208E-05 
      1160; 1.081797E+00 ; 6.580869E-05 
      1170; 1.081166E+00 ; 6.724535E-05 
      1180; 1.080742E+00 ; 6.797010E-05 
      1190; 1.080665E+00 ; 6.683081E-05 
      1200; 1.079815E+00 ; 6.579508E-05 
      1210; 1.079467E+00 ; 6.583720E-05 
      1230; 1.078862E+00 ; 6.802566E-05 
      1240; 1.079140E+00 ; 6.687940E-05 
      1250; 1.078385E+00 ; 6.580753E-05 
      1260; 1.078128E+00 ; 6.572784E-05 
      1270; 1.078671E+00 ; 6.735796E-05 
      1280; 1.078332E+00 ; 6.791330E-05 
      1290; 1.078594E+00 ; 6.689149E-05 
      1300; 1.079225E+00 ; 6.584723E-05 
      1310; 1.078062E+00 ; 6.581587E-05 
      1320; 1.078647E+00 ; 6.730371E-05 
      1330; 1.078883E+00 ; 6.790959E-05 
      1340; 1.078737E+00 ; 6.687410E-05 
      1350; 1.078629E+00 ; 6.577632E-05 
      1360; 1.078757E+00 ; 6.579628E-05 
      1370; 1.079320E+00 ; 6.750040E-05 
      1380; 1.078537E+00 ; 6.777744E-05 
      1390; 1.079636E+00 ; 6.683502E-05 
      1400; 1.079615E+00 ; 6.579406E-05 
      1410; 1.079247E+00 ; 6.592939E-05 
      1420; 1.079874E+00 ; 6.734271E-05 
      1430; 1.079499E+00 ; 6.785551E-05 
      1440; 1.078878E+00 ; 6.692141E-05 
      1450; 1.079047E+00 ; 6.578907E-05 
      1460; 1.078224E+00 ; 6.589028E-05 
      1470; 1.077326E+00 ; 6.743142E-05 
      1480; 1.077160E+00 ; 6.782130E-05 
      1490; 1.076974E+00 ; 6.680343E-05 
      1500; 1.076203E+00 ; 6.570863E-05 
      1510; 1.076396E+00 ; 6.596516E-05 
      1520; 1.076399E+00 ; 6.741569E-05 
      1530; 1.075898E+00 ; 6.787477E-05 
      1540; 1.076150E+00 ; 6.683112E-05 
      1550; 1.075979E+00 ; 6.555430E-05 
      1560; 1.075804E+00 ; 6.584162E-05 
      1570; 1.075850E+00 ; 6.753815E-05 
      1580; 1.074158E+00 ; 6.796698E-05 
      1590; 1.076723E+00 ; 6.687803E-05 
      1600; 1.075945E+00 ; 6.566256E-05 
      1610; 1.075520E+00 ; 6.588878E-05 
      1620; 1.077252E+00 ; 6.752024E-05 
      1630; 1.076442E+00 ; 6.783978E-05 
      1640; 1.076247E+00 ; 6.684364E-05 
      1650; 1.077692E+00 ; 6.557914E-05 
      1660; 1.076762E+00 ; 6.603993E-05 
      1670; 1.076877E+00 ; 6.745915E-05 
      1680; 1.077771E+00 ; 6.781589E-05 
      1690; 1.077950E+00 ; 6.687207E-05 
      1700; 1.076660E+00 ; 6.567412E-05 
      1710; 1.078079E+00 ; 6.603046E-05 
      1720; 1.078555E+00 ; 6.735819E-05 
      1730; 1.076601E+00 ; 6.787902E-05 
      1740; 1.078368E+00 ; 6.692555E-05 
      1750; 1.077152E+00 ; 6.564827E-05 
      1760; 1.075832E+00 ; 6.605845E-05 
      1770; 1.077354E+00 ; 6.730825E-05 
      1780; 1.075455E+00 ; 6.782867E-05 
      1790; 1.075192E+00 ; 6.683735E-05 
      1800; 1.076205E+00 ; 6.569165E-05 
      1810; 1.074567E+00 ; 6.601243E-05 
      1820; 1.075571E+00 ; 6.736676E-05 
      1830; 1.075196E+00 ; 6.780725E-05 
      1840; 1.074696E+00 ; 6.686075E-05 
      1850; 1.074774E+00 ; 6.566368E-05 
      1860; 1.075341E+00 ; 6.605760E-05 
      1870; 1.074601E+00 ; 6.747478E-05 
      1880; 1.074814E+00 ; 6.778234E-05 
      1890; 1.073999E+00 ; 6.678621E-05 
      1900; 1.074743E+00 ; 6.568136E-05 
      1910; 1.073120E+00 ; 6.608078E-05 
      1920; 1.074492E+00 ; 6.743579E-05 
      1930; 1.073391E+00 ; 6.784570E-05 
      1940; 1.072326E+00 ; 6.670509E-05 
      1950; 1.072796E+00 ; 6.555796E-05 
      1960; 1.072929E+00 ; 6.609844E-05 
      1970; 1.071768E+00 ; 6.740657E-05 
      1980; 1.073026E+00 ; 6.775938E-05 
      1990; 1.071790E+00 ; 6.674313E-05 
      2000; 1.072318E+00 ; 6.562719E-05 
      2010; 1.072883E+00 ; 6.605204E-05 
      2020; 1.071731E+00 ; 6.760786E-05 
      2030; 1.071796E+00 ; 6.793212E-05 
      2040; 1.073111E+00 ; 6.669973E-05 
      2050; 1.073695E+00 ; 6.552088E-05 
      2070; 1.074238E+00 ; 6.748326E-05 
      2080; 1.072937E+00 ; 6.783733E-05 
      2090; 1.074899E+00 ; 6.663759E-05 
      2100; 1.073451E+00 ; 6.568086E-05 
      2110; 1.074798E+00 ; 6.610093E-05 
      2120; 1.073997E+00 ; 6.740521E-05 
      2130; 1.074459E+00 ; 6.787724E-05 
